Country,Currency,Continent,Security Thread Embeded,Security Thread Windowed,Watermark,Metallic Element,OVI Ink,OVMI Ink (SPARK),Blind code,Rainbow printing,Rectoverso,Intaglio print,Latent image,Hologram Patch,Hologram Stripe,Kinegram,Holographic Patch,Iridescent ink,Iridescent planchetes,Fibres Visible,Motion,Polymer Substrate,Complex Clear Window (polymer),Embossed Paper,Polymer paper,Moire Variable Color (Stripe & image),Gold Foil / Metal Foil,Diffractive Optical Element (WinDOE),Invisible Ink Fluorescent,Fibres Invisible,IR Ink,Microtext,Microtag,Metalic ink,Relief & line width,Raster effect,CDS/BDS,Anty copying,Endless Pattern,Microperforation,Magnetic Thread,Intaglio Contrast Effect (ICE) Feature
New Zealand,NZD,Europe,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Norway,Norwegian Krone,Europe,1,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Svalbard,Norwegian Krone,Europe,1,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Poland,Zloty,Europe,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0
Romania,Leu,Europe,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
Russia,Rubel,Europe,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1
Serbia,Dinar,Europe,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Sweden,Swedish Krona,Europe,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
Switzerland,Franc Swiss,Europe,0,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0
United Kingdom,Poundsterling,Europe,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Brazil,Real,America,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,CAD,America,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Chile,Chilean Peso,America,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
Mexico,Mexican Peso,America,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
Nicaragua,Cordoba,America,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,USD,America,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Venezuela,Bolivar,America,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Egypt,EGP,Africa,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0
Ghana,Cedi,Africa,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
